"";"Ecoregion";"Year";"dimension";"n";"mean_value";"sd_value";"pval";"coeff"
"18";"Adriatic Sea";1999;"PC3";58;-0,0628483786442855;0,0313321341266861;0,000289065036972053;-0,000821451929577504
"19";"Adriatic Sea";2000;"PC1";48;0,457920351934502;0,14917256252746;0,181251683969311;0,00097230114734563
"20";"Adriatic Sea";2000;"PC2";48;-0,118460419469276;0,0547410535869878;0,315495818009284;-0,000312905632218587
"21";"Adriatic Sea";2000;"PC3";48;-0,0418461198895855;0,0403633718622596;0,000289065036972053;-0,000821451929577504
"22";"Adriatic Sea";2001;"PC1";35;0,4735865529766;0,111577454810522;0,181251683969311;0,00097230114734563
"23";"Adriatic Sea";2001;"PC2";35;-0,110826310155302;0,0561276144878839;0,315495818009284;-0,000312905632218587
"24";"Adriatic Sea";2001;"PC3";35;-0,0531521665996689;0,0348057982967219;0,000289065036972053;-0,000821451929577504
"25";"Adriatic Sea";2002;"PC1";56;0,514673934114149;0,0919191318870887;0,181251683969311;0,00097230114734563
"26";"Adriatic Sea";2002;"PC2";56;-0,0889411121654055;0,0464186313945365;0,315495818009284;-0,000312905632218587
"27";"Adriatic Sea";2002;"PC3";56;-0,0582721997527762;0,0299241222722467;0,000289065036972053;-0,000821451929577504
"28";"Adriatic Sea";2003;"PC1";62;0,518226671867782;0,10715540252783;0,181251683969311;0,00097230114734563
"29";"Adriatic Sea";2003;"PC2";62;-0,0954181458904412;0,0452117824429866;0,315495818009284;-0,000312905632218587
"30";"Adriatic Sea";2003;"PC3";62;-0,0493165616065802;0,0346424586230344;0,000289065036972053;-0,000821451929577504
"31";"Adriatic Sea";2004;"PC1";64;0,472351201859208;0,127379988762228;0,181251683969311;0,00097230114734563
"32";"Adriatic Sea";2004;"PC2";64;-0,100426534945935;0,0445495351104354;0,315495818009284;-0,000312905632218587
"33";"Adriatic Sea";2004;"PC3";64;-0,0434994359019719;0,0437506297519975;0,000289065036972053;-0,000821451929577504
"34";"Adriatic Sea";2005;"PC1";61;0,487381863977769;0,136217466372713;0,181251683969311;0,00097230114734563
"35";"Adriatic Sea";2005;"PC2";61;-0,102837196635269;0,0492459427852138;0,315495818009284;-0,000312905632218587
"36";"Adriatic Sea";2005;"PC3";61;-0,0489776080287959;0,0382949657271318;0,000289065036972053;-0,000821451929577504
"37";"Adriatic Sea";2006;"PC1";51;0,492163941762827;0,118802186515133;0,181251683969311;0,00097230114734563
"38";"Adriatic Sea";2006;"PC2";51;-0,101849352536249;0,0500056623647403;0,315495818009284;-0,000312905632218587
"39";"Adriatic Sea";2006;"PC3";51;-0,0391911596542156;0,0351001445633824;0,000289065036972053;-0,000821451929577504
"40";"Adriatic Sea";2007;"PC1";36;0,471396925544263;0,144680345772512;0,181251683969311;0,00097230114734563
"41";"Adriatic Sea";2007;"PC2";36;-0,103012575406469;0,0595999472353001;0,315495818009284;-0,000312905632218587
"42";"Adriatic Sea";2007;"PC3";36;-0,0447106127915743;0,0473310089836413;0,000289065036972053;-0,000821451929577504
"43";"Adriatic Sea";2008;"PC1";53;0,501529382349239;0,111759609038637;0,181251683969311;0,00097230114734563
"44";"Adriatic Sea";2008;"PC2";53;-0,108073990663978;0,0542899159855865;0,315495818009284;-0,000312905632218587
"45";"Adriatic Sea";2008;"PC3";53;-0,0506683735990522;0,036721508151913;0,000289065036972053;-0,000821451929577504
"46";"Adriatic Sea";2009;"PC1";45;0,478008911165355;0,148055039279378;0,181251683969311;0,00097230114734563
"47";"Adriatic Sea";2009;"PC2";45;-0,100801505679041;0,0596141144083867;0,315495818009284;-0,000312905632218587
"48";"Adriatic Sea";2009;"PC3";45;-0,0497369887213207;0,0380005921236025;0,000289065036972053;-0,000821451929577504
"49";"Adriatic Sea";2010;"PC1";58;0,491900862084818;0,129116107222267;0,181251683969311;0,00097230114734563
"50";"Adriatic Sea";2010;"PC2";58;-0,0936283869927996;0,0526574043640133;0,315495818009284;-0,000312905632218587
"51";"Adriatic Sea";2010;"PC3";58;-0,057029132623216;0,0360520609283101;0,000289065036972053;-0,000821451929577504
"52";"Adriatic Sea";2011;"PC1";56;0,473629574251654;0,145949328799717;0,181251683969311;0,00097230114734563
"53";"Adriatic Sea";2011;"PC2";56;-0,112145292686816;0,066919532777168;0,315495818009284;-0,000312905632218587
"54";"Adriatic Sea";2011;"PC3";56;-0,0537406064711777;0,0421660678673669;0,000289065036972053;-0,000821451929577504
"55";"Adriatic Sea";2012;"PC1";60;0,472397046360102;0,14876416687198;0,181251683969311;0,00097230114734563
"56";"Adriatic Sea";2012;"PC2";60;-0,137818181857719;0,0659936369028534;0,315495818009284;-0,000312905632218587
"57";"Adriatic Sea";2012;"PC3";60;-0,0446918852280129;0,0445792659263704;0,000289065036972053;-0,000821451929577504
"58";"Adriatic Sea";2013;"PC1";67;0,486357327850672;0,12300554040304;0,181251683969311;0,00097230114734563
"59";"Adriatic Sea";2013;"PC2";67;-0,108767488465625;0,0551994480381059;0,315495818009284;-0,000312905632218587
"60";"Adriatic Sea";2013;"PC3";67;-0,0581347381027338;0,0381913855698718;0,000289065036972053;-0,000821451929577504
"61";"Adriatic Sea";2014;"PC1";52;0,539115849275807;0,0803807866691043;0,181251683969311;0,00097230114734563
"62";"Adriatic Sea";2014;"PC2";52;-0,106187526954397;0,0420177643956064;0,315495818009284;-0,000312905632218587
"63";"Adriatic Sea";2014;"PC3";52;-0,066133480962648;0,0279692797420765;0,000289065036972053;-0,000821451929577504
"64";"Adriatic Sea";2015;"PC1";56;0,490258275894922;0,107513103169665;0,181251683969311;0,00097230114734563
"65";"Adriatic Sea";2015;"PC2";56;-0,117683372599322;0,0545683478715774;0,315495818009284;-0,000312905632218587
"66";"Adriatic Sea";2015;"PC3";56;-0,0599846169250847;0,0337588816112368;0,000289065036972053;-0,000821451929577504
"67";"Adriatic Sea";2016;"PC1";59;0,513345555901475;0,10330527991327;0,181251683969311;0,00097230114734563
"68";"Adriatic Sea";2016;"PC2";59;-0,118838467571896;0,0614474549661637;0,315495818009284;-0,000312905632218587
"69";"Adriatic Sea";2016;"PC3";59;-0,0626403540068563;0,0327267114780345;0,000289065036972053;-0,000821451929577504
"70";"Adriatic Sea";2017;"PC1";8;0,562446209914614;0,0862927191826074;0,181251683969311;0,00097230114734563
"71";"Adriatic Sea";2017;"PC2";8;-0,0946144887117203;0,0498407246926171;0,315495818009284;-0,000312905632218587
"72";"Adriatic Sea";2017;"PC3";8;-0,067738246793981;0,0261457376783844;0,000289065036972053;-0,000821451929577504
"73";"Adriatic Sea";2018;"PC1";52;0,51526228095238;0,0865931816248508;0,181251683969311;0,00097230114734563
"74";"Adriatic Sea";2018;"PC2";52;-0,100818348451594;0,0534051904700033;0,315495818009284;-0,000312905632218587
"75";"Adriatic Sea";2018;"PC3";52;-0,0619756094240208;0,0292780553612456;0,000289065036972053;-0,000821451929577504
"76";"Aegean-Levantine
Sea";1994;"PC1";20;0,528241552653693;0,0671503803002974;0,00461173844293238;0,00192243387374876
"77";"Aegean-Levantine
Sea";1994;"PC2";20;-0,105072314006079;0,0356420478152263;0,0409657686520133;0,00072766544540821
"78";"Aegean-Levantine
Sea";1994;"PC3";20;-0,060213134950231;0,0213507874646189;0,162248480532957;0,000274299776608514
"79";"Aegean-Levantine
Sea";1995;"PC1";6;0,514311253791066;0,0695055688418445;0,00461173844293238;0,00192243387374876
"80";"Aegean-Levantine
Sea";1995;"PC2";6;-0,10957767896934;0,0249477681099993;0,0409657686520133;0,00072766544540821
"81";"Aegean-Levantine
Sea";1995;"PC3";6;-0,067790048802946;0,0216591131059151;0,162248480532957;0,000274299776608514
"82";"Aegean-Levantine
Sea";1996;"PC1";10;0,536176987403978;0,0764392570910975;0,00461173844293238;0,00192243387374876
"83";"Aegean-Levantine
Sea";1996;"PC2";10;-0,118409133457159;0,0303738437456557;0,0409657686520133;0,00072766544540821
"84";"Aegean-Levantine
Sea";1996;"PC3";10;-0,0637252528616937;0,0191261261665162;0,162248480532957;0,000274299776608514
"85";"Aegean-Levantine
Sea";1997;"PC1";18;0,519191640015911;0,0661421676357937;0,00461173844293238;0,00192243387374876
"86";"Aegean-Levantine
Sea";1997;"PC2";18;-0,100510995398844;0,0346344626394388;0,0409657686520133;0,00072766544540821
"87";"Aegean-Levantine
Sea";1997;"PC3";18;-0,0562839200599505;0,0242628025895754;0,162248480532957;0,000274299776608514
"88";"Aegean-Levantine
Sea";1998;"PC1";20;0,51451817933296;0,0691183906862013;0,00461173844293238;0,00192243387374876
"89";"Aegean-Levantine
Sea";1998;"PC2";20;-0,10105109357899;0,0421624215937009;0,0409657686520133;0,00072766544540821
"90";"Aegean-Levantine
Sea";1998;"PC3";20;-0,0550659838478254;0,027960682045736;0,162248480532957;0,000274299776608514
"91";"Aegean-Levantine
Sea";1999;"PC1";20;0,5240711564323;0,0648070284473206;0,00461173844293238;0,00192243387374876
"92";"Aegean-Levantine
Sea";1999;"PC2";20;-0,101833828985459;0,0220554138104206;0,0409657686520133;0,00072766544540821
"93";"Aegean-Levantine
Sea";1999;"PC3";20;-0,0529733057444477;0,0173830436666073;0,162248480532957;0,000274299776608514
"94";"Aegean-Levantine
Sea";2000;"PC1";20;0,530843792055827;0,0575805718394436;0,00461173844293238;0,00192243387374876
"95";"Aegean-Levantine
Sea";2000;"PC2";20;-0,0927643148023095;0,026380642317027;0,0409657686520133;0,00072766544540821
"96";"Aegean-Levantine
Sea";2000;"PC3";20;-0,0471829418680805;0,0191576323596654;0,162248480532957;0,000274299776608514
"97";"Aegean-Levantine
Sea";2001;"PC1";4;0,502844706415549;0,0410384205162609;0,00461173844293238;0,00192243387374876
"98";"Aegean-Levantine
Sea";2001;"PC2";4;-0,099122605303983;0,0185155017877768;0,0409657686520133;0,00072766544540821
"99";"Aegean-Levantine
Sea";2001;"PC3";4;-0,0511382176778392;0,00345096236867919;0,162248480532957;0,000274299776608514
"100";"Aegean-Levantine
Sea";2003;"PC1";24;0,543179129031844;0,0672117388147029;0,00461173844293238;0,00192243387374876
"101";"Aegean-Levantine
Sea";2003;"PC2";24;-0,0921530088168337;0,0328619129664132;0,0409657686520133;0,00072766544540821
"102";"Aegean-Levantine
Sea";2003;"PC3";24;-0,0534106764938098;0,0236502632266377;0,162248480532957;0,000274299776608514
"103";"Aegean-Levantine
Sea";2004;"PC1";26;0,540427815235637;0,0713147040825575;0,00461173844293238;0,00192243387374876
"104";"Aegean-Levantine
Sea";2004;"PC2";26;-0,104846123951994;0,0252715040495781;0,0409657686520133;0,00072766544540821
"105";"Aegean-Levantine
Sea";2004;"PC3";26;-0,0550365410363854;0,0177635472324597;0,162248480532957;0,000274299776608514
"106";"Aegean-Levantine
Sea";2005;"PC1";18;0,581821872163163;0,0574801861048404;0,00461173844293238;0,00192243387374876
"107";"Aegean-Levantine
Sea";2005;"PC2";18;-0,0730029187843739;0,0264008729693911;0,0409657686520133;0,00072766544540821
"108";"Aegean-Levantine
Sea";2005;"PC3";18;-0,045379737808162;0,0196388679444501;0,162248480532957;0,000274299776608514
"109";"Aegean-Levantine
Sea";2006;"PC1";26;0,552444326450007;0,0710907017781231;0,00461173844293238;0,00192243387374876
"110";"Aegean-Levantine
Sea";2006;"PC2";26;-0,0859105868633916;0,0342865592751974;0,0409657686520133;0,00072766544540821
"111";"Aegean-Levantine
Sea";2006;"PC3";26;-0,0492014478675793;0,0201224939214649;0,162248480532957;0,000274299776608514
"112";"Aegean-Levantine
Sea";2008;"PC1";24;0,534381143876633;0,076707871967229;0,00461173844293238;0,00192243387374876
"113";"Aegean-Levantine
Sea";2008;"PC2";24;-0,0969114874538201;0,0436957934485334;0,0409657686520133;0,00072766544540821
"114";"Aegean-Levantine
Sea";2008;"PC3";24;-0,0550938091923848;0,0222529694051978;0,162248480532957;0,000274299776608514
"115";"Aegean-Levantine
Sea";2013;"PC1";10;0,582132537601963;0,0586100791398352;0,00461173844293238;0,00192243387374876
"116";"Aegean-Levantine
Sea";2013;"PC2";10;-0,0942100209202471;0,0420278044036858;0,0409657686520133;0,00072766544540821
"117";"Aegean-Levantine
Sea";2013;"PC3";10;-0,0517178284821425;0,0269584965451664;0,162248480532957;0,000274299776608514
"118";"Aegean-Levantine
Sea";2014;"PC1";24;0,537604449652621;0,0771006849640726;0,00461173844293238;0,00192243387374876
"119";"Aegean-Levantine
Sea";2014;"PC2";24;-0,107452804280487;0,0342172862515889;0,0409657686520133;0,00072766544540821
"120";"Aegean-Levantine
Sea";2014;"PC3";24;-0,0618231471039094;0,0229938451244062;0,162248480532957;0,000274299776608514
"121";"Aegean-Levantine
Sea";2016;"PC1";24;0,550476951270119;0,0608211647220811;0,00461173844293238;0,00192243387374876
"122";"Aegean-Levantine
Sea";2016;"PC2";24;-0,0809087948192093;0,0286159635737709;0,0409657686520133;0,00072766544540821
"123";"Aegean-Levantine
Sea";2016;"PC3";24;-0,0521362075922941;0,0192589687734051;0,162248480532957;0,000274299776608514
"124";"Aegean-Levantine
Sea";2018;"PC1";22;0,564853378335288;0,0761600588749906;0,00461173844293238;0,00192243387374876
"125";"Aegean-Levantine
Sea";2018;"PC2";22;-0,0906516316391197;0,0482465578394146;0,0409657686520133;0,00072766544540821
"126";"Aegean-Levantine
Sea";2018;"PC3";22;-0,0518213166046378;0,0247822034177211;0,162248480532957;0,000274299776608514
"127";"Baltic Sea";1994;"PC1";58;-0,196025023507586;0,12132116289116;2,99935710783639e-08;-0,00316491825106624
"128";"Baltic Sea";1994;"PC2";58;-0,515399191933036;0,108242930983584;0,621250735572226;-0,000224432066970072
"129";"Baltic Sea";1994;"PC3";58;0,371511216008227;0,19325669687268;2,42838917573196e-08;-0,00386147161168165
"130";"Baltic Sea";1995;"PC1";64;-0,139315257101325;0,105888376177277;2,99935710783639e-08;-0,00316491825106624
"131";"Baltic Sea";1995;"PC2";64;-0,511272320034461;0,132749307986859;0,621250735572226;-0,000224432066970072
"132";"Baltic Sea";1995;"PC3";64;0,391744635088556;0,197090172480231;2,42838917573196e-08;-0,00386147161168165
"133";"Baltic Sea";1996;"PC1";78;-0,122490752605313;0,146681168517304;2,99935710783639e-08;-0,00316491825106624
"134";"Baltic Sea";1996;"PC2";78;-0,494997981739061;0,117259357339905;0,621250735572226;-0,000224432066970072
"135";"Baltic Sea";1996;"PC3";78;0,360281014852094;0,172357618524511;2,42838917573196e-08;-0,00386147161168165
"136";"Baltic Sea";1997;"PC1";67;-0,162620454295173;0,116065084371174;2,99935710783639e-08;-0,00316491825106624
"137";"Baltic Sea";1997;"PC2";67;-0,488600230286567;0,163943962813899;0,621250735572226;-0,000224432066970072
"138";"Baltic Sea";1997;"PC3";67;0,354947894900265;0,224805795188768;2,42838917573196e-08;-0,00386147161168165
"139";"Baltic Sea";1998;"PC1";72;-0,176866564998792;0,11937184711036;2,99935710783639e-08;-0,00316491825106624
"140";"Baltic Sea";1998;"PC2";72;-0,512964923316615;0,162726141244244;0,621250735572226;-0,000224432066970072
"141";"Baltic Sea";1998;"PC3";72;0,359717242144243;0,233594223212693;2,42838917573196e-08;-0,00386147161168165
"142";"Baltic Sea";1999;"PC1";77;-0,148667840612387;0,151418014028819;2,99935710783639e-08;-0,00316491825106624
"143";"Baltic Sea";1999;"PC2";77;-0,467059037151295;0,174494909217127;0,621250735572226;-0,000224432066970072
"144";"Baltic Sea";1999;"PC3";77;0,309348533733829;0,270133934478516;2,42838917573196e-08;-0,00386147161168165
"145";"Baltic Sea";2000;"PC1";73;-0,165787309511241;0,154697352315212;2,99935710783639e-08;-0,00316491825106624
"146";"Baltic Sea";2000;"PC2";73;-0,506845910867883;0,115644148732814;0,621250735572226;-0,000224432066970072
"147";"Baltic Sea";2000;"PC3";73;0,386525746237761;0,165982116508663;2,42838917573196e-08;-0,00386147161168165
"148";"Baltic Sea";2001;"PC1";73;-0,162481756759049;0,151821929988948;2,99935710783639e-08;-0,00316491825106624
"149";"Baltic Sea";2001;"PC2";73;-0,484072090736135;0,126104233327844;0,621250735572226;-0,000224432066970072
"150";"Baltic Sea";2001;"PC3";73;0,335182296881043;0,206405819989255;2,42838917573196e-08;-0,00386147161168165
"151";"Baltic Sea";2002;"PC1";65;-0,194581725632376;0,152672545095033;2,99935710783639e-08;-0,00316491825106624
"152";"Baltic Sea";2002;"PC2";65;-0,512315357148377;0,124370578683766;0,621250735572226;-0,000224432066970072
"153";"Baltic Sea";2002;"PC3";65;0,34976520216392;0,17397637537091;2,42838917573196e-08;-0,00386147161168165
"154";"Baltic Sea";2003;"PC1";135;-0,179786654434107;0,160571519456959;2,99935710783639e-08;-0,00316491825106624
"155";"Baltic Sea";2003;"PC2";135;-0,467689588375606;0,135249201782433;0,621250735572226;-0,000224432066970072
"156";"Baltic Sea";2003;"PC3";135;0,308584417347478;0,200785752405542;2,42838917573196e-08;-0,00386147161168165
"157";"Baltic Sea";2004;"PC1";127;-0,194127516906434;0,149124112112157;2,99935710783639e-08;-0,00316491825106624
"158";"Baltic Sea";2004;"PC2";127;-0,462020218647641;0,12041713297313;0,621250735572226;-0,000224432066970072
"159";"Baltic Sea";2004;"PC3";127;0,316710105177896;0,218045213429087;2,42838917573196e-08;-0,00386147161168165
"160";"Baltic Sea";2005;"PC1";138;-0,186543482831106;0,15612188165789;2,99935710783639e-08;-0,00316491825106624
"161";"Baltic Sea";2005;"PC2";138;-0,474127106280377;0,142479276737973;0,621250735572226;-0,000224432066970072
"162";"Baltic Sea";2005;"PC3";138;0,323768056818121;0,208496856611022;2,42838917573196e-08;-0,00386147161168165
"163";"Baltic Sea";2006;"PC1";134;-0,204111872502916;0,122637455377231;2,99935710783639e-08;-0,00316491825106624
"164";"Baltic Sea";2006;"PC2";134;-0,488604155727791;0,149664994024761;0,621250735572226;-0,000224432066970072
"165";"Baltic Sea";2006;"PC3";134;0,339504038541031;0,190336073646862;2,42838917573196e-08;-0,00386147161168165
"166";"Baltic Sea";2007;"PC1";132;-0,201283072498608;0,136890312392303;2,99935710783639e-08;-0,00316491825106624
"167";"Baltic Sea";2007;"PC2";132;-0,491629749852585;0,123472749985914;0,621250735572226;-0,000224432066970072
"168";"Baltic Sea";2007;"PC3";132;0,323783393784989;0,176799579321677;2,42838917573196e-08;-0,00386147161168165
"169";"Baltic Sea";2008;"PC1";141;-0,206695165465105;0,132923022656316;2,99935710783639e-08;-0,00316491825106624
"170";"Baltic Sea";2008;"PC2";141;-0,482171286310154;0,126687116614731;0,621250735572226;-0,000224432066970072
"171";"Baltic Sea";2008;"PC3";141;0,312400118440673;0,205706070114642;2,42838917573196e-08;-0,00386147161168165
"172";"Baltic Sea";2009;"PC1";126;-0,190938288393665;0,14684874964283;2,99935710783639e-08;-0,00316491825106624
"173";"Baltic Sea";2009;"PC2";126;-0,467976725456051;0,121564127263302;0,621250735572226;-0,000224432066970072
"174";"Baltic Sea";2009;"PC3";126;0,271880054351991;0,211889261530601;2,42838917573196e-08;-0,00386147161168165
"175";"Baltic Sea";2010;"PC1";160;-0,194788195034654;0,144069701702738;2,99935710783639e-08;-0,00316491825106624
"176";"Baltic Sea";2010;"PC2";160;-0,482137568062497;0,127526558384547;0,621250735572226;-0,000224432066970072
"177";"Baltic Sea";2010;"PC3";160;0,302083242502303;0,206308563837285;2,42838917573196e-08;-0,00386147161168165
"178";"Baltic Sea";2011;"PC1";144;-0,206940765157863;0,144031603815594;2,99935710783639e-08;-0,00316491825106624
"179";"Baltic Sea";2011;"PC2";144;-0,47351109821806;0,147204988288444;0,621250735572226;-0,000224432066970072
"180";"Baltic Sea";2011;"PC3";144;0,298678780756813;0,2030684116847;2,42838917573196e-08;-0,00386147161168165
"181";"Baltic Sea";2012;"PC1";137;-0,207316627132159;0,135300577216729;2,99935710783639e-08;-0,00316491825106624
"182";"Baltic Sea";2012;"PC2";137;-0,503099850969174;0,114632923874103;0,621250735572226;-0,000224432066970072
"183";"Baltic Sea";2012;"PC3";137;0,308735249484828;0,207496593740589;2,42838917573196e-08;-0,00386147161168165
"184";"Baltic Sea";2013;"PC1";150;-0,199089335388215;0,139356851615462;2,99935710783639e-08;-0,00316491825106624
"185";"Baltic Sea";2013;"PC2";150;-0,502463407940793;0,134361296695097;0,621250735572226;-0,000224432066970072
"186";"Baltic Sea";2013;"PC3";150;0,319600154632469;0,19300414338841;2,42838917573196e-08;-0,00386147161168165
"187";"Baltic Sea";2014;"PC1";139;-0,213679493082645;0,130955372968616;2,99935710783639e-08;-0,00316491825106624
"188";"Baltic Sea";2014;"PC2";139;-0,49785076235902;0,121709128865918;0,621250735572226;-0,000224432066970072
"189";"Baltic Sea";2014;"PC3";139;0,283446843302011;0,218495618493094;2,42838917573196e-08;-0,00386147161168165
"190";"Baltic Sea";2015;"PC1";142;-0,220522860949109;0,119336606557707;2,99935710783639e-08;-0,00316491825106624
"191";"Baltic Sea";2015;"PC2";142;-0,509578122800135;0,107780540582486;0,621250735572226;-0,000224432066970072
"192";"Baltic Sea";2015;"PC3";142;0,289819745933618;0,220782846374342;2,42838917573196e-08;-0,00386147161168165
"193";"Baltic Sea";2016;"PC1";154;-0,216357085234077;0,121811007038833;2,99935710783639e-08;-0,00316491825106624
"194";"Baltic Sea";2016;"PC2";154;-0,505697371924012;0,128074221072893;0,621250735572226;-0,000224432066970072
"195";"Baltic Sea";2016;"PC3";154;0,280466330222952;0,220109457446308;2,42838917573196e-08;-0,00386147161168165
"196";"Baltic Sea";2017;"PC1";155;-0,23611972118727;0,136114907748467;2,99935710783639e-08;-0,00316491825106624
"197";"Baltic Sea";2017;"PC2";155;-0,500682372211036;0,130230228916506;0,621250735572226;-0,000224432066970072
"198";"Baltic Sea";2017;"PC3";155;0,278086575889101;0,206973160123493;2,42838917573196e-08;-0,00386147161168165
"199";"Baltic Sea";2018;"PC1";149;-0,22317186872518;0,131739216561403;2,99935710783639e-08;-0,00316491825106624
"200";"Baltic Sea";2018;"PC2";149;-0,505175525731258;0,12234850094308;0,621250735572226;-0,000224432066970072
"201";"Baltic Sea";2018;"PC3";149;0,28504661076857;0,207247668345336;2,42838917573196e-08;-0,00386147161168165
"202";"Baltic Sea";2019;"PC1";139;-0,236829644106731;0,116431807015764;2,99935710783639e-08;-0,00316491825106624
"203";"Baltic Sea";2019;"PC2";139;-0,514879227305024;0,121944979457698;0,621250735572226;-0,000224432066970072
"204";"Baltic Sea";2019;"PC3";139;0,284210287094861;0,212050865641039;2,42838917573196e-08;-0,00386147161168165
"205";"Bay of Biscay and
Iberian Coast";2003;"PC1";102;0,567011059111729;0,0841934225215756;0,0221224079055525;-0,00103049630107359
"206";"Bay of Biscay and
Iberian Coast";2003;"PC2";102;0,0528846594041323;0,07887509991956;0,132693550281695;-0,000895189291597345
"207";"Bay of Biscay and
Iberian Coast";2003;"PC3";102;-0,00157497814039241;0,0323051434587457;0,262566539531504;-0,000320495799912576
"208";"Bay of Biscay and
Iberian Coast";2004;"PC1";104;0,575478788861646;0,0838278503644519;0,0221224079055525;-0,00103049630107359
"209";"Bay of Biscay and
Iberian Coast";2004;"PC2";104;0,0446947421762973;0,0799114088835432;0,132693550281695;-0,000895189291597345
"210";"Bay of Biscay and
Iberian Coast";2004;"PC3";104;-0,00549258968232947;0,030329319086654;0,262566539531504;-0,000320495799912576
"211";"Bay of Biscay and
Iberian Coast";2005;"PC1";102;0,58871088296976;0,0745914621839203;0,0221224079055525;-0,00103049630107359
"212";"Bay of Biscay and
Iberian Coast";2005;"PC2";102;0,0784417915608706;0,0811960497628633;0,132693550281695;-0,000895189291597345
"213";"Bay of Biscay and
Iberian Coast";2005;"PC3";102;0,00639726388207886;0,0311120820125484;0,262566539531504;-0,000320495799912576
"214";"Bay of Biscay and
Iberian Coast";2006;"PC1";98;0,575261150404933;0,0776688793224606;0,0221224079055525;-0,00103049630107359
"215";"Bay of Biscay and
Iberian Coast";2006;"PC2";98;0,0489642145406048;0,0802858275926111;0,132693550281695;-0,000895189291597345
"216";"Bay of Biscay and
Iberian Coast";2006;"PC3";98;-0,00554848254540064;0,0369027191498879;0,262566539531504;-0,000320495799912576
"217";"Bay of Biscay and
Iberian Coast";2007;"PC1";104;0,575047628929279;0,080900672408288;0,0221224079055525;-0,00103049630107359
"218";"Bay of Biscay and
Iberian Coast";2007;"PC2";104;0,0455854492111111;0,0860351540193273;0,132693550281695;-0,000895189291597345
"219";"Bay of Biscay and
Iberian Coast";2007;"PC3";104;-0,0065832995510681;0,0320733560373033;0,262566539531504;-0,000320495799912576
"220";"Bay of Biscay and
Iberian Coast";2008;"PC1";114;0,567162638879719;0,0808143926127988;0,0221224079055525;-0,00103049630107359
"221";"Bay of Biscay and
Iberian Coast";2008;"PC2";114;0,0422746949364872;0,088277526290317;0,132693550281695;-0,000895189291597345
"222";"Bay of Biscay and
Iberian Coast";2008;"PC3";114;-0,00839139287422066;0,0289172106548898;0,262566539531504;-0,000320495799912576
"223";"Bay of Biscay and
Iberian Coast";2009;"PC1";112;0,575102605795351;0,103812067743714;0,0221224079055525;-0,00103049630107359
"224";"Bay of Biscay and
Iberian Coast";2009;"PC2";112;0,0672708336002343;0,0961724367127485;0,132693550281695;-0,000895189291597345
"225";"Bay of Biscay and
Iberian Coast";2009;"PC3";112;0,00459348651378935;0,0374354644816427;0,262566539531504;-0,000320495799912576
"226";"Bay of Biscay and
Iberian Coast";2010;"PC1";110;0,570075835723156;0,0910334004375544;0,0221224079055525;-0,00103049630107359
"227";"Bay of Biscay and
Iberian Coast";2010;"PC2";110;0,0678449658684498;0,102855010428222;0,132693550281695;-0,000895189291597345
"228";"Bay of Biscay and
Iberian Coast";2010;"PC3";110;0,00130862759845873;0,0455827909239491;0,262566539531504;-0,000320495799912576
